question,SQL Query,ground_truth,nl_to_sql_execution_time,ground_truth_validity,SQL-to-NL response,sql_to_nl_execution_time,SQL Query Results,Ground Truth SQL-to-NL response,retries
How about since 2001?,"SELECT year, value 
FROM bls_current_employment 
WHERE data_type = 'ALL EMPLOYEES, THOUSANDS' AND period_name = 'Annual Average' AND industry_name = 'Total nonfarm' AND year >= 2001
ORDER BY year ASC;
-- This query selects the year and value from the bls_current_employment table where the data type is 'ALL EMPLOYEES, THOUSANDS', the period name is 'Annual Average', the industry name is 'Total nonfarm', and the year is greater than or equal to 2001. The results are ordered in ascending order by year.",Not Found,11.605258750030771,False,"The data shows the total nonfarm employment for each year since 2001. In 2001, there were 132,073,000 employees. This number decreased slightly in 2002 and 2003, to 130,634,000 and 130,330,000 respectively. The number then increased each year until 2008, when it reached a peak of 137,224,000. In 2009, there was a significant drop to 131,296,000, likely due to the global financial crisis. The number of employees then steadily increased each year, reaching a peak of 152,575,010 in 2022.",8.46581236703787,"[(2001, 132073000.0), (2002, 130634000.0), (2003, 130330000.0), (2004, 131769000.0), (2005, 134033000.0), (2006, 136435010.0), (2007, 137980990.0), (2008, 137224000.0), (2009, 131296000.0), (2010, 130345000.0), (2011, 131914000.0), (2012, 134157000.0), (2013, 136363010.0), (2014, 138939010.0), (2015, 141824000.0), (2016, 144335010.0), (2017, 146607010.0), (2018, 148908000.0), (2019, 150904000.0), (2020, 142186000.0), (2021, 146284990.0), (2022, 152575010.0)]","I'm sorry, but I can't provide the information you're asking for since 2001 because the SQL query provided is empty. Therefore, no data was retrieved from the database. Please provide a valid SQL query.",0
What are the unemployment rates for each level of education over the past 5 years?,"SELECT year, level_of_education, value as unemployment_rate 
FROM bls_labor_force_statistics 
WHERE period_name = 'Annual' 
AND year >= (SELECT MAX(year) FROM bls_labor_force_statistics) - 5 
AND labor_force_status = 'Unemployment rate' 
AND level_of_education != 'All educational levels' 
ORDER BY year DESC, level_of_education;
-- This query selects the year, level of education, and unemployment rate from the bls_labor_force_statistics table for the past 5 years. It excludes rows where the level of education is 'All educational levels'. The results are ordered by year in descending order and then by level of education.",Not Found,12.382432012003846,False,The database does not contain any data on the unemployment rates for each level of education over the past 5 years.,1.913442614953965,[],"I'm sorry, but I can't provide the unemployment rates for each level of education over the past 5 years because the SQL query provided is empty and therefore, no results were produced.",0
How has the value of the top industry contributing to the GDP changed over the past 5 years?,"SELECT industry_name, year, value 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'United States' 
AND industry_name = (
    SELECT industry_name 
    FROM bea_gross_domestic_product_by_year 
    WHERE year = (SELECT MAX(year) FROM bea_gross_domestic_product_by_year) 
    AND area_name = 'United States' 
    ORDER BY value DESC 
    LIMIT 1
) 
AND year > (SELECT MAX(year) - 5 FROM bea_gross_domestic_product_by_year)
ORDER BY year ASC;
-- This query first identifies the industry that contributed the most to the GDP in the most recent year in the dataset. It then selects the values of this industry for the past 5 years.",Not Found,16.45837763894815,False,"The top industry contributing to the GDP over the past 5 years is the 'All industry total'. The value of this industry has changed as follows:

- In 2018, the values ranged from -63319000000.0 to 20533058000000.0.
- In 2019, the values ranged from -72957000000.0 to 21380976000000.0.
- In 2020, the values ranged from -657275000000.0 to 21060475000000.0.
- In 2021, the values ranged from -481944000000.0 to 23315081000000.0.
- In 2022, the values ranged from 123.134 to 25462722000000.0.

Please note that the values are in dollars and the negative values could represent losses or deficits.",16.973127396020573,"[('All industry total', 2018, 18609078000000.0), ('All industry total', 2018, 114.489), ('All industry total', 2018, 1398102000000.0), ('All industry total', 2018, 8166765000000.0), ('All industry total', 2018, 20533058000000.0), ('All industry total', 2018, 1461422000000.0), ('All industry total', 2018, 10968191000000.0), ('All industry total', 2018, -63319000000.0), ('All industry total', 2019, 11459981000000.0), ('All industry total', 2019, -72957000000.0), ('All industry total', 2019, 1530028000000.0), ('All industry total', 2019, 8463924000000.0), ('All industry total', 2019, 117.116), ('All industry total', 2019, 1457071000000.0), ('All industry total', 2019, 19036052000000.0), ('All industry total', 2019, 21380976000000.0), ('All industry total', 2020, 869025000000.0), ('All industry total', 2020, 8590898000000.0), ('All industry total', 2020, 21060475000000.0), ('All industry total', 2020, 18509143000000.0), ('All industry total', 2020, 1526301000000.0), ('All industry total', 2020, 11600551000000.0), ('All industry total', 2020, -657275000000.0), ('All industry total', 2020, 113.875), ('All industry total', 2021, 12549140000000.0), ('All industry total', 2021, 19609812000000.0), ('All industry total', 2021, 23315081000000.0), ('All industry total', 2021, 1181454000000.0), ('All industry total', 2021, -481944000000.0), ('All industry total', 2021, 1663398000000.0), ('All industry total', 2021, 9584487000000.0), ('All industry total', 2021, 120.646), ('All industry total', 2022, 20014128000000.0), ('All industry total', 2022, 123.134), ('All industry total', 2022, 25462722000000.0)]","I'm sorry, but I can't provide the information you're looking for because the SQL query that was supposed to retrieve the data is missing. Therefore, no data was retrieved and I can't tell you how the value of the top industry contributing to the GDP has changed over the past 5 years.",0
List out the number of job openings for the top 15 cities with the highest inflation rate,"SELECT cpi.area_name, job.data_element, job.value
FROM bls_consumer_price_index cpi
JOIN bls_job_turnover job ON cpi.area_name = job.state
WHERE cpi.item_name = 'All items' AND cpi.year = 2023 AND cpi.period_name = 'Annual' AND cpi.seasonal = 'Not Seasonally Adjusted' AND cpi.area_type = 'Metro' AND job.data_element = 'Job Openings' AND job.year = 2023 AND job.month_name = 'Annual'
ORDER BY cpi.value DESC
LIMIT 15;
-- This query joins the consumer price index table with the job turnover table on the area name and state respectively. It then filters for the annual inflation rate for all items in 2023 and the number of job openings in the same year. The result is ordered by the inflation rate in descending order and limited to the top 15 cities.",Not Found,14.543537891004235,False,"Based on the executed SQL query, there are no available data for the number of job openings for the top 15 cities with the highest inflation rate in 2023.",3.7395828659646213,[],"I'm sorry, but I can't provide the information you're looking for because the SQL query provided is empty and therefore, it can't be executed.",0
List out the number of job openings for the top 5 states with the highest inflation rate,"SELECT job.state, job.value as job_openings, cpi.value as inflation_rate
FROM bls_job_turnover job
JOIN bls_consumer_price_index cpi ON job.state = cpi.area_name
WHERE job.data_element = 'Job openings' AND job.year = (SELECT MAX(year) FROM bls_job_turnover)
AND cpi.item_name = 'All items' AND cpi.year = (SELECT MAX(year) FROM bls_consumer_price_index)
AND cpi.area_type = 'State'
ORDER BY cpi.value DESC
LIMIT 5;

-- This query first joins the job turnover and consumer price index tables on the state name. 
-- It then filters for job openings in the most recent year and the inflation rate for all items in the most recent year. 
-- The results are ordered by the inflation rate in descending order and limited to the top 5 states.",Not Found,19.471578110009432,False,"The query did not return any results. Therefore, it is not possible to provide the number of job openings for the top 5 states with the highest inflation rate.",2.927854966954328,[],"I'm sorry, but I can't provide the information you're looking for because the SQL query was not executed.",0
How does the inflation rate in Los Angeles compare to the rest of the country?,"SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2017.value)/cpi_2017.value) as inflation_rate 
FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2017 
WHERE cpi_2022.item_name = 'All items' 
AND cpi_2022.year = 2022 
AND cpi_2022.period_name = 'Annual' 
AND cpi_2022.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2022.area_name IN ('Los Angeles-Long Beach-Anaheim, CA', 'U.S. city average') 
AND cpi_2017.item_name = 'All items' 
AND cpi_2017.year = 2017 
AND cpi_2017.period_name = 'Annual' 
AND cpi_2017.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2017.area_name IN ('Los Angeles-Long Beach-Anaheim, CA', 'U.S. city average') 
AND cpi_2022.area_name = cpi_2017.area_name 
ORDER BY inflation_rate DESC 
LIMIT 2
-- This query calculates the overall rate of inflation for Los Angeles and the US average over the last 5 years.",Not Found,42.51520448102383,False,"The inflation rate in Los Angeles-Long Beach-Anaheim, CA over the last 5 years is approximately 21.3%. This is higher than the average inflation rate for U.S. cities, which is approximately 19.4% over the same period. Therefore, the inflation rate in Los Angeles is higher compared to the rest of the country.",5.127436075010337,"[('Los Angeles-Long Beach-Anaheim, CA', 0.21299724), ('U.S. city average', 0.19392544)]","I'm sorry, but I can't provide the information you're looking for because the SQL query that was supposed to retrieve the data is missing. Therefore, no comparison between the inflation rate in Los Angeles and the rest of the country can be made.",0
How does the inflation rate for California compare to the rest of the country?,"SELECT cpi_ca_2022.area_name, ((cpi_ca_2022.value - cpi_ca_2017.value)/cpi_ca_2017.value) as inflation_rate_ca, ((cpi_us_2022.value - cpi_us_2017.value)/cpi_us_2017.value) as inflation_rate_us 
FROM bls_consumer_price_index cpi_ca_2022, bls_consumer_price_index cpi_ca_2017, bls_consumer_price_index cpi_us_2022, bls_consumer_price_index cpi_us_2017 
WHERE cpi_ca_2022.area_name = 'Los Angeles-Long Beach-Anaheim, CA' AND cpi_ca_2022.item_name = 'All items' AND cpi_ca_2022.year = 2022 AND cpi_ca_2022.period_name = 'Annual' AND cpi_ca_2022.seasonal = 'Not Seasonally Adjusted' 
AND cpi_ca_2017.area_name = 'Los Angeles-Long Beach-Anaheim, CA' AND cpi_ca_2017.item_name = 'All items' AND cpi_ca_2017.year = 2017 AND cpi_ca_2017.period_name = 'Annual' AND cpi_ca_2017.seasonal = 'Not Seasonally Adjusted' 
AND cpi_us_2022.area_name = 'U.S. city average' AND cpi_us_2022.item_name = 'All items' AND cpi_us_2022.year = 2022 AND cpi_us_2022.period_name = 'Annual' AND cpi_us_2022.seasonal = 'Not Seasonally Adjusted' 
AND cpi_us_2017.area_name = 'U.S. city average' AND cpi_us_2017.item_name = 'All items' AND cpi_us_2017.year = 2017 AND cpi_us_2017.period_name = 'Annual' AND cpi_us_2017.seasonal = 'Not Seasonally Adjusted'

-- This query calculates the inflation rate for California (specifically the Los Angeles-Long Beach-Anaheim area) and the U.S. city average from 2017 to 2022. The inflation rate is calculated by subtracting the CPI value in 2017 from the CPI value in 2022, then dividing by the CPI value in 2017.",Not Found,55.70594059600262,False,"The inflation rate for California, specifically the Los Angeles-Long Beach-Anaheim area, from 2017 to 2022 was approximately 21.3%. In comparison, the average inflation rate for the entire United States over the same period was approximately 19.4%. Therefore, the inflation rate in California was slightly higher than the national average.",4.967501904000528,"[('Los Angeles-Long Beach-Anaheim, CA', 0.21299724, 0.19392544)]","I'm sorry, but I can't provide the information you're looking for because the SQL query that was supposed to retrieve the data is missing.",0
Of the top 10 states with the highest GDP what is their median annual income?,"SELECT location_name, value * 52 AS median_annual_income  
FROM bls_earnings  
WHERE year = (SELECT MAX(year) FROM bls_earnings)  
AND measure = 'Median usual weekly earnings - in current dollars (second quartile)'  
AND location_name IN (
    SELECT area_name 
    FROM bea_gross_domestic_product_by_year 
    WHERE measurement_name = 'Real GDP by state' 
    AND industry_type = 'Total' 
    AND area_type = 'State' 
    AND year = ( 
        SELECT MAX(year) 
        FROM bea_gross_domestic_product_by_year 
        WHERE measurement_name = 'Real GDP by state' 
        AND industry_type = 'Total' 
    ) 
    ORDER BY value DESC 
    LIMIT 10
)  
AND union_status = 'N/A' 
AND industry_name = 'All Industries' 
AND occupation_name = 'All Occupations' 
AND education = 'All educational levels' 
AND age = '16 years and over' 
AND race = 'All Races' 
AND national_origin = 'All Origins' 
AND sex = 'Both Sexes' 
AND native_foreign_born = 'N/A' 
ORDER BY median_annual_income DESC  
LIMIT 10; 

-- This query selects the top 10 states in terms of GDP, then calculates the median annual earnings for those states.",Not Found,25.476793688023463,False,"The median annual income for the top 10 states with the highest GDP are as follows: Washington has a median annual income of $62,244. New Jersey has a median annual income of $61,724. California has a median annual income of $60,268. New York has a median annual income of $59,852. Illinois has a median annual income of $59,072. Pennsylvania has a median annual income of $56,940. Texas has a median annual income of $52,728. Ohio has a median annual income of $52,260. Georgia has a median annual income of $51,272. Florida has a median annual income of $49,504.",8.772912288026419,"[('Washington', 62244.0), ('New Jersey', 61724.0), ('California', 60268.0), ('New York', 59852.0), ('Illinois', 59072.0), ('Pennsylvania', 56940.0), ('Texas', 52728.0), ('Ohio', 52260.0), ('Georgia', 51272.0), ('Florida', 49504.0)]","I'm sorry, but I can't provide the information you're looking for because the SQL query was not executed.",0
Give me the top 10 states with the highest GDP,"SELECT area_name, value 
FROM bea_gross_domestic_product_by_year 
WHERE measurement_name = 'Real GDP by state' 
AND industry_type = 'Total' 
AND area_type = 'State' 
AND year = (SELECT MAX(year) FROM bea_gross_domestic_product_by_year WHERE measurement_name = 'Real GDP by state' AND industry_type = 'Total') 
ORDER BY value DESC 
LIMIT 10;
-- This query selects the top 10 states with the highest GDP in the most recent year available in the dataset. It filters the data to include only total GDP values for states, then orders the results in descending order by GDP value and limits the output to the top 10.",Not Found,9.783662724017631,False,"The top 10 states with the highest GDP in the most recent year available in the dataset are as follows:

1. California with a GDP of approximately $2,885,627,400,000.
2. Texas with a GDP of approximately $1,876,327,800,000.
3. New York with a GDP of approximately $1,563,043,700,000.
4. Florida with a GDP of approximately $1,070,930,200,000.
5. Illinois with a GDP of approximately $797,969,100,000.
6. Pennsylvania with a GDP of approximately $726,035,600,000.
7. Ohio with a GDP of approximately $638,910,000,000.
8. Georgia with a GDP of approximately $591,257,300,000.
9. Washington with a GDP of approximately $582,171,600,000.
10. New Jersey with a GDP of approximately $581,704,200,000.",17.48915917199338,"[('California', 2885627400000.0), ('Texas', 1876327800000.0), ('New York', 1563043700000.0), ('Florida', 1070930200000.0), ('Illinois', 797969100000.0), ('Pennsylvania', 726035600000.0), ('Ohio', 638910000000.0), ('Georgia', 591257300000.0), ('Washington', 582171600000.0), ('New Jersey', 581704200000.0)]","I'm sorry, but I can't provide the information you're looking for because the SQL query that was supposed to retrieve the data was not executed.",0
What is the median annual income of these states?,"SELECT location_name, value * 52 AS median_annual_income 
FROM bls_earnings 
WHERE year = (SELECT MAX(year) FROM bls_earnings) 
AND measure = 'Median usual weekly earnings - in current dollars (second quartile)' 
AND location_name IN ('State1', 'State2', 'State3') 
AND union_status = 'N/A' 
AND industry_name = 'All Industries' 
AND occupation_name = 'All Occupations' 
AND education = 'All educational levels' 
AND age = '16 years and over' 
AND race = 'All Races' 
AND national_origin = 'All Origins' 
AND sex = 'Both Sexes' 
AND native_foreign_born = 'N/A' 
ORDER BY median_annual_income DESC;
-- This query selects the median annual income for the states specified in the IN clause by multiplying the median weekly earnings by 52. The most recent year's data is used.",Not Found,13.553804397990461,False,"The query did not return any results. Therefore, it's not possible to provide the median annual income for the states 'State1', 'State2', and 'State3'.",4.332648500974756,[],"I'm sorry, but I can't provide the median annual income of these states because the SQL query provided is empty and therefore, it can't be executed. Please provide a valid SQL query.",0
What products have the highest per capita spending?,"SELECT product_category_name, value 
FROM bea_personal_consumption_expenditures_per_capita 
WHERE year = (SELECT MAX(year) FROM bea_personal_consumption_expenditures_per_capita)
ORDER BY value DESC 
LIMIT 10;
-- This query selects the top 10 products with the highest per capita spending in the most recent year in the bea_personal_consumption_expenditures_per_capita table.",Not Found,5.463307950994931,False,"The product category with the highest per capita spending is 'Per capita personal consumption expenditures (PCE) by state' with a value of 78,809. This is followed by the same category with values of 58,532, 56,727, 55,813, and 55,803 respectively. The 'Services' category also has a high per capita spending with a value of 55,417. The 'Per capita personal consumption expenditures (PCE) by state' category appears again with values of 54,700, 54,331, 53,374, and 53,255. Please note that these values are likely in US dollars.",8.341551202989649,"[('Per capita personal consumption expenditures (PCE) by state', 78809.0), ('Per capita personal consumption expenditures (PCE) by state', 58532.0), ('Per capita personal consumption expenditures (PCE) by state', 56727.0), ('Per capita personal consumption expenditures (PCE) by state', 55813.0), ('Per capita personal consumption expenditures (PCE) by state', 55803.0), ('Services', 55417.0), ('Per capita personal consumption expenditures (PCE) by state', 54700.0), ('Per capita personal consumption expenditures (PCE) by state', 54331.0), ('Per capita personal consumption expenditures (PCE) by state', 53374.0), ('Per capita personal consumption expenditures (PCE) by state', 53255.0)]","I'm sorry, but I can't provide the information about the products with the highest per capita spending because the SQL query provided is empty and therefore, it can't be executed.",0
