,question,top_0,top_1,top_2,top_3,top_4,SQL Query,ground_truth,execution_time,ground_truth_validity,SQL Query Execution Validity,SQL Query Results,ground_truth_results,Cosine Similarity Generated vs True,SQL Query Critic Score
42,What industries most impacted GDP in Iowa in 2013?,"['What industries most impacted GDP in Georgia in 2017?', 0.8323248690612819]","['What industries most impacted GDP in Wisconsin in 2005?', 0.8299670253575789]","['Which industry contributed most to GDP growth in Wisconsin in 1964?', 0.822260308261009]","['What industries most impacted GDP in Oklahoma in 1979?', 0.8141580864489297]","['Which industries grew the most between 2010 and 2020 in Georgia?', 0.8141370690058405]","SELECT industry_name, value as GDP FROM bea_gross_domestic_product_by_year WHERE area_name = 'Iowa' AND year = 2013 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' ORDER BY value DESC","SELECT industry_name, value as GDP FROM bea_gross_domestic_product_by_year WHERE area_name = 'Iowa' AND year = 2013 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' ORDER BY value DESC",3.037059958001919,True,1,"[('Finance, insurance, real estate, rental, and leasing', 32084600000.0), ('Manufacturing', 28896300000.0), ('State and local', 15527700000.0), ('Agriculture, forestry, fishing and hunting', 12449200000.0), ('Educational services, health care, and social assistance', 11943900000.0), ('Wholesale trade', 10354600000.0), ('Professional and business services', 9975300000.0), ('Retail trade', 8551400000.0), ('Construction', 5993400000.0), ('Transportation and warehousing', 5073500000.0), ('Information', 4496799700.0), ('Arts, entertainment, recreation, accommodation, and food services', 4438600000.0), ('Other services (except government and government enterprises)', 3098700000.0), ('Utilities', 2766100000.0), ('Federal civilian', 1607500000.0), ('Military', 868400000.0), ('Mining, quarrying, and oil and gas extraction', 345200000.0)]","[('Finance, insurance, real estate, rental, and leasing', 32084600000.0), ('Manufacturing', 28896300000.0), ('State and local', 15527700000.0), ('Agriculture, forestry, fishing and hunting', 12449200000.0), ('Educational services, health care, and social assistance', 11943900000.0), ('Wholesale trade', 10354600000.0), ('Professional and business services', 9975300000.0), ('Retail trade', 8551400000.0), ('Construction', 5993400000.0), ('Transportation and warehousing', 5073500000.0), ('Information', 4496799700.0), ('Arts, entertainment, recreation, accommodation, and food services', 4438600000.0), ('Other services (except government and government enterprises)', 3098700000.0), ('Utilities', 2766100000.0), ('Federal civilian', 1607500000.0), ('Military', 868400000.0), ('Mining, quarrying, and oil and gas extraction', 345200000.0)]",1.0,1.0
43,Which industry contributed most to GDP growth in Colorado in 1994?,"['Which industry contributed most to GDP growth in Virginia in 1982?', 0.8412176764947346]","['Which industry contributed most to GDP growth in Wisconsin in 1964?', 0.8369746696463038]","['Which industry contributed most to GDP growth in Oklahoma in 1973?', 0.8334928357730721]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.8269257741719978]","['Which industry contributed most to GDP growth in Alaska in 1982?', 0.818808784201028]","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Colorado' AND year = 1994 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Colorado' AND year = 1994 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",3.1420152079990658,True,1,[],[],1.0000000000000002,1.0
44,Which industry contributed most to GDP growth in Virginia in 1982?,"['Which industry contributed most to GDP growth in Wisconsin in 1964?', 0.8439146140144493]","['Which industries grew the most between 2010 and 2020 in Virginia?', 0.8353142282433363]","['Which industry contributed most to GDP growth in Colorado in 1994?', 0.8328283181533909]","['Which industry contributed most to GDP growth in Oklahoma in 1973?', 0.8287313779396683]","['Which industry contributed most to GDP growth in Alaska in 1982?', 0.8168179003890592]","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Virginia' AND year = 1982 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Virginia' AND year = 1982 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",5.158397187999071,True,1,[],[],1.0000000000000002,1.0
45,Which industry contributed most to GDP growth in Wisconsin in 1964?,"['What industries most impacted GDP in Wisconsin in 2005?', 0.8487854531822635]","['Which industry contributed most to GDP growth in Virginia in 1982?', 0.8369908940110664]","['Which industry contributed most to GDP growth in Colorado in 1994?', 0.8260323391990331]","['Which industry contributed most to GDP growth in Oklahoma in 1973?', 0.8189261164858371]","['Which industry contributed most to GDP growth in Alaska in 1982?', 0.812090978037657]","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Wisconsin' AND year = 1964 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Wisconsin' AND year = 1964 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",5.015183783001703,True,1,[],[],1.0000000000000002,1.0
46,Which industry contributed most to GDP growth in Alaska in 1982?,"['Which industry contributed most to GDP growth in Oklahoma in 1973?', 0.8453324696854547]","['Which industry contributed most to GDP growth in Virginia in 1982?', 0.8433222147939972]","['Which industry contributed most to GDP growth in Wisconsin in 1964?', 0.8430362216712881]","['Which industry contributed most to GDP growth in Colorado in 1994?', 0.839335603810923]","['What industries most impacted GDP in Oklahoma in 1979?', 0.8143210533050256]","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Alaska' AND year = 1982 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Alaska' AND year = 1982 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",5.707066047001717,True,1,[],[],1.0000000000000002,1.0
47,Which industry contributed most to GDP growth in Oklahoma in 1973?,"['What industries most impacted GDP in Oklahoma in 1979?', 0.8727587288194195]","['Which industries grew the most between 2010 and 2020 in Oklahoma?', 0.8449018958586956]","['Which industry contributed most to GDP growth in Colorado in 1994?', 0.8254884177875335]","['Which industry contributed most to GDP growth in Wisconsin in 1964?', 0.8189562601344306]","['Which industry contributed most to GDP growth in Virginia in 1982?', 0.8174758343772115]","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Oklahoma' AND year = 1973 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Oklahoma' AND year = 1973 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",2.9309539690002566,True,1,[],[],1.0000000000000002,1.0
48,What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Kansas?,"['What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Missouri?', 0.8758243322858089]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma?', 0.875352351068958]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Illinois?', 0.8699105442261598]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in New York?', 0.8662449744197169]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Ohio?', 0.8622429424364674]","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Kansas' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Kansas' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Kansas' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Kansas' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",15.560996977001196,True,1,"[('Furnishings and durable household equipment', 4145600000.0, 2252000000.0, 0.84085256), ('Motor vehicles and parts', 6462900000.0, 3543400000.0, 0.82392627), ('Food services and accommodations', 7794100000.0, 4968400000.0, 0.56873447), ('Financial services and insurance', 10164900000.0, 6527600000.0, 0.55721855), ('Other nondurable goods', 10857500000.0, 7106600000.0, 0.5278051), ('Recreational goods and vehicles', 3247900000.0, 2175200000.0, 0.49315003), ('Food and beverages purchased for off-premises consumption', 11249100000.0, 7547200000.0, 0.49049976), ('Gross output of nonprofit institutions', 13435800000.0, 9190900000.0, 0.46185902), ('Health care', 21993800000.0, 15147000000.0, 0.4520235), ('Other durable goods', 1918500000.0, 1336500000.0, 0.43546578)]","[('Furnishings and durable household equipment', 4145600000.0, 2252000000.0, 0.84085256), ('Motor vehicles and parts', 6462900000.0, 3543400000.0, 0.82392627), ('Food services and accommodations', 7794100000.0, 4968400000.0, 0.56873447), ('Financial services and insurance', 10164900000.0, 6527600000.0, 0.55721855), ('Other nondurable goods', 10857500000.0, 7106600000.0, 0.5278051), ('Recreational goods and vehicles', 3247900000.0, 2175200000.0, 0.49315003), ('Food and beverages purchased for off-premises consumption', 11249100000.0, 7547200000.0, 0.49049976), ('Gross output of nonprofit institutions', 13435800000.0, 9190900000.0, 0.46185902), ('Health care', 21993800000.0, 15147000000.0, 0.4520235), ('Other durable goods', 1918500000.0, 1336500000.0, 0.43546578)]",1.0,1.0
49,What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma?,"['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Kansas?', 0.8817128557510696]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Ohio?', 0.8679605565545513]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in New York?', 0.8631697369719143]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Illinois?', 0.8601379546899035]","['What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Missouri?', 0.8582720238009338]","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Oklahoma' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Oklahoma' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Oklahoma' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Oklahoma' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",11.867540297000232,True,1,"[('Motor vehicles and parts', 10308900000.0, 5448000000.0, 0.89223564), ('Furnishings and durable household equipment', 5025100000.0, 2697500000.0, 0.862873), ('Food services and accommodations', 11620100000.0, 6687100000.0, 0.737689), ('Recreational goods and vehicles', 4734300000.0, 2727200000.0, 0.7359564), ('Other durable goods', 2699300000.0, 1692199900.0, 0.59514254), ('Less: Receipts from sales of goods and services by nonprofit institutions', 13983300000.0, 8910600000.0, 0.5692882), ('Financial services and insurance', 10727700000.0, 6850000000.0, 0.56608766), ('Gross output of nonprofit institutions', 16050800000.0, 10376800000.0, 0.5467966), ('Other nondurable goods', 14171600000.0, 9226900000.0, 0.53590035), ('Clothing and footwear', 5290399700.0, 3507300000.0, 0.5083967)]","[('Motor vehicles and parts', 10308900000.0, 5448000000.0, 0.89223564), ('Furnishings and durable household equipment', 5025100000.0, 2697500000.0, 0.862873), ('Food services and accommodations', 11620100000.0, 6687100000.0, 0.737689), ('Recreational goods and vehicles', 4734300000.0, 2727200000.0, 0.7359564), ('Other durable goods', 2699300000.0, 1692199900.0, 0.59514254), ('Less: Receipts from sales of goods and services by nonprofit institutions', 13983300000.0, 8910600000.0, 0.5692882), ('Financial services and insurance', 10727700000.0, 6850000000.0, 0.56608766), ('Gross output of nonprofit institutions', 16050800000.0, 10376800000.0, 0.5467966), ('Other nondurable goods', 14171600000.0, 9226900000.0, 0.53590035), ('Clothing and footwear', 5290399700.0, 3507300000.0, 0.5083967)]",1.0,1.0
50,What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in New York?,"['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Illinois?', 0.8706562033569025]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Ohio?', 0.868794423686536]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Kansas?', 0.8677005193093265]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma?', 0.8548935356374537]","['What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Tennessee?', 0.8508726553532499]","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'New York' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'New York' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'New York' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'New York' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",11.58852430400293,True,1,"[('Furnishings and durable household equipment', 29352200000.0, 16266000000.0, 0.80451244), ('Other nondurable goods', 105677600000.0, 59998300000.0, 0.76134336), ('Motor vehicles and parts', 29107400000.0, 16641500000.0, 0.7490851), ('Financial services and insurance', 100760300000.0, 61043600000.0, 0.6506283), ('Recreational goods and vehicles', 28968800000.0, 17798900000.0, 0.6275613), ('Less: Receipts from sales of goods and services by nonprofit institutions', 112558700000.0, 70221300000.0, 0.602914), ('Other durable goods', 17191400000.0, 10759900000.0, 0.59772855), ('Gross output of nonprofit institutions', 151738400000.0, 97158800000.0, 0.5617567), ('Food and beverages purchased for off-premises consumption', 71346800000.0, 46165500000.0, 0.54545707), ('Food services and accommodations', 66216000000.0, 45460500000.0, 0.4565612)]","[('Furnishings and durable household equipment', 29352200000.0, 16266000000.0, 0.80451244), ('Other nondurable goods', 105677600000.0, 59998300000.0, 0.76134336), ('Motor vehicles and parts', 29107400000.0, 16641500000.0, 0.7490851), ('Financial services and insurance', 100760300000.0, 61043600000.0, 0.6506283), ('Recreational goods and vehicles', 28968800000.0, 17798900000.0, 0.6275613), ('Less: Receipts from sales of goods and services by nonprofit institutions', 112558700000.0, 70221300000.0, 0.602914), ('Other durable goods', 17191400000.0, 10759900000.0, 0.59772855), ('Gross output of nonprofit institutions', 151738400000.0, 97158800000.0, 0.5617567), ('Food and beverages purchased for off-premises consumption', 71346800000.0, 46165500000.0, 0.54545707), ('Food services and accommodations', 66216000000.0, 45460500000.0, 0.4565612)]",0.9999999999999999,1.0
51,What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Ohio?,"['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Illinois?', 0.8738621266413367]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in New York?', 0.8715248857928869]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Kansas?', 0.8661880524015847]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma?', 0.8636784089235249]","['What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Tennessee?', 0.8587733566424572]","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Ohio' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Ohio' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Ohio' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Ohio' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",24.768032832002064,True,1,"[('Furnishings and durable household equipment', 16631900000.0, 7946200000.0, 1.0930634), ('Recreational goods and vehicles', 19629100000.0, 10055900000.0, 0.9519982), ('Motor vehicles and parts', 24363800000.0, 12561000000.0, 0.93963856), ('Financial services and insurance', 36115500000.0, 21375800000.0, 0.6895509), ('Other nondurable goods', 47690800000.0, 30612800000.0, 0.5578713), ('Food and beverages purchased for off-premises consumption', 43004900000.0, 27827400000.0, 0.5454156), ('Other durable goods', 8377300000.0, 5432100000.0, 0.5421845), ('Food services and accommodations', 31757000000.0, 20777200000.0, 0.5284543), ('Health care', 98075000000.0, 67513000000.0, 0.4526832), ('Clothing and footwear', 14167000000.0, 9937000000.0, 0.42568174)]","[('Furnishings and durable household equipment', 16631900000.0, 7946200000.0, 1.0930634), ('Recreational goods and vehicles', 19629100000.0, 10055900000.0, 0.9519982), ('Motor vehicles and parts', 24363800000.0, 12561000000.0, 0.93963856), ('Financial services and insurance', 36115500000.0, 21375800000.0, 0.6895509), ('Other nondurable goods', 47690800000.0, 30612800000.0, 0.5578713), ('Food and beverages purchased for off-premises consumption', 43004900000.0, 27827400000.0, 0.5454156), ('Other durable goods', 8377300000.0, 5432100000.0, 0.5421845), ('Food services and accommodations', 31757000000.0, 20777200000.0, 0.5284543), ('Health care', 98075000000.0, 67513000000.0, 0.4526832), ('Clothing and footwear', 14167000000.0, 9937000000.0, 0.42568174)]",1.0000000000000002,1.0
52,What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Illinois?,"['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Ohio?', 0.8745024556927061]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in New York?', 0.8734542442708182]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Kansas?', 0.8733679291805592]","['What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Missouri?', 0.8707419709071095]","['What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Tennessee?', 0.855562115339263]","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Illinois' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Illinois' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Illinois' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Illinois' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",19.117274515003373,True,1,"[('Recreational goods and vehicles', 26277000000.0, 12986300000.0, 1.02344), ('Furnishings and durable household equipment', 19518800000.0, 9739500000.0, 1.0040865), ('Motor vehicles and parts', 23610700000.0, 14225800000.0, 0.6597098), ('Other nondurable goods', 57265400000.0, 34668798000.0, 0.651785), ('Other durable goods', 11527600000.0, 7187600000.0, 0.60381776), ('Gross output of nonprofit institutions', 92209900000.0, 60100200000.0, 0.53426945), ('Financial services and insurance', 50111600000.0, 33161700000.0, 0.5111288), ('Food services and accommodations', 39166000000.0, 26851300000.0, 0.4586259), ('Food and beverages purchased for off-premises consumption', 43728300000.0, 30257300000.0, 0.44521484), ('Less: Receipts from sales of goods and services by nonprofit institutions', 58011800000.0, 41285900000.0, 0.40512383)]","[('Recreational goods and vehicles', 26277000000.0, 12986300000.0, 1.02344), ('Furnishings and durable household equipment', 19518800000.0, 9739500000.0, 1.0040865), ('Motor vehicles and parts', 23610700000.0, 14225800000.0, 0.6597098), ('Other nondurable goods', 57265400000.0, 34668798000.0, 0.651785), ('Other durable goods', 11527600000.0, 7187600000.0, 0.60381776), ('Gross output of nonprofit institutions', 92209900000.0, 60100200000.0, 0.53426945), ('Financial services and insurance', 50111600000.0, 33161700000.0, 0.5111288), ('Food services and accommodations', 39166000000.0, 26851300000.0, 0.4586259), ('Food and beverages purchased for off-premises consumption', 43728300000.0, 30257300000.0, 0.44521484), ('Less: Receipts from sales of goods and services by nonprofit institutions', 58011800000.0, 41285900000.0, 0.40512383)]",1.0,1.0
53,What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Tennessee?,"['What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Missouri?', 0.8705690848877505]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Ohio?', 0.8627091494196583]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Illinois?', 0.8598265174475763]","['What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Louisiana?', 0.8597716019607318]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma?', 0.8558773480214844]","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_per_capita pce2021, bamboo.bea_personal_consumption_expenditures_per_capita pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Tennessee' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Tennessee' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_per_capita pce2021, bamboo.bea_personal_consumption_expenditures_per_capita pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Tennessee' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Tennessee' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",14.341292789998988,True,1,"[('Furnishings and durable household equipment', 1407.0, 728.0, 0.9326923), ('Motor vehicles and parts', 2238.0, 1163.0, 0.92433363), ('Recreational goods and vehicles', 1322.0, 714.0, 0.8515406), ('Food services and accommodations', 3097.0, 1866.0, 0.6596999), ('Transportation services', 1132.0, 698.0, 0.6217765), ('Financial services and insurance', 3152.0, 1961.0, 0.6073432), ('Other durable goods', 675.0, 437.0, 0.5446224), ('Other nondurable goods', 4488.0, 2911.0, 0.5417382), ('Clothing and footwear', 1321.0, 932.0, 0.41738197), ('Other services', 3232.0, 2365.0, 0.3665962)]","[('Furnishings and durable household equipment', 1407.0, 728.0, 0.9326923), ('Motor vehicles and parts', 2238.0, 1163.0, 0.92433363), ('Recreational goods and vehicles', 1322.0, 714.0, 0.8515406), ('Food services and accommodations', 3097.0, 1866.0, 0.6596999), ('Transportation services', 1132.0, 698.0, 0.6217765), ('Financial services and insurance', 3152.0, 1961.0, 0.6073432), ('Other durable goods', 675.0, 437.0, 0.5446224), ('Other nondurable goods', 4488.0, 2911.0, 0.5417382), ('Clothing and footwear', 1321.0, 932.0, 0.41738197), ('Other services', 3232.0, 2365.0, 0.3665962)]",0.9999999999999999,1.0
