question,SQL Query,ground_truth,nl_to_sql_execution_time,ground_truth_validity,SQL-to-NL response,sql_to_nl_execution_time,SQL Query Results,Ground Truth SQL-to-NL response,Ground Truth SQL Execution Results,retries
How much does government spending impact GDP?,"SELECT gdp.year, gdp.value as gdp, gov_spending.value as government_spending, (gov_spending.value / gdp.value) * 100 as government_spending_percentage_of_gdp
FROM bea_gross_domestic_product_by_year gdp
JOIN bea_gross_domestic_product_by_year gov_spending ON gdp.year = gov_spending.year
WHERE gdp.measurement_name = 'Real GDP by state' 
AND gdp.area_name = 'United States' 
AND gdp.industry_name = 'Total'
AND gov_spending.measurement_name = 'Real GDP by state' 
AND gov_spending.area_name = 'United States' 
AND gov_spending.industry_name = 'Government and government enterprises'
ORDER BY gdp.year;
-- This query joins the GDP and government spending data on the year, and calculates the percentage of GDP that is made up by government spending for each year.","SELECT gov.value AS government_value, gov.value/total.value AS government_proportion FROM bea_gross_domestic_product_by_quarter AS gov, bea_gross_domestic_product_by_quarter AS total WHERE gov.measurement_name = 'Real GDP by state' AND gov.industry_name = 'Government and government enterprises' AND gov.year = 2022 AND gov.quarter = 'Q4' AND gov.area_type = 'Nationwide' AND total.measurement_name = 'Real GDP by state' AND total.industry_name = 'All industry total' AND total.year = 2022 AND total.quarter = 'Q4' AND total.area_type = 'Nationwide' LIMIT 10",16.96790810697712,True,"The query did not return any results, so it's not possible to determine the impact of government spending on GDP based on the provided data.",2.4957536780275404,[],"The government spending contributes approximately 11.19% to the Gross Domestic Product (GDP) as of the fourth quarter of 2022. This is based on a government spending value of 2,257,968,000,000.0 (in dollars).","[(2257968000000.0, 0.11187756)]",0
"What is the total amount of consumer spending in the United States, and how has it changed over time?","SELECT year, SUM(value) as total_spending 
FROM bea_personal_consumption_expenditures_aggregate 
WHERE area_name = 'United States' 
GROUP BY year 
ORDER BY year ASC;
-- This query calculates the total amount of consumer spending in the United States for each year by summing the value column from the bea_personal_consumption_expenditures_aggregate table. The results are grouped by year and ordered in ascending order to show the change over time.",SELECT value as total_spending FROM bea_personal_consumption_expenditures_aggregate WHERE product_category_name = 'Total personal consumption expenditures' AND area_type = 'Nationwide' AND year = 2021;,12.00107564299833,True,"The total amount of consumer spending in the United States has generally increased over time. In 1997, the total spending was approximately $22.94 trillion. This amount increased each year, reaching approximately $24.35 trillion in 1998, $26.01 trillion in 1999, and so on. There was a slight decrease in 2009 to approximately $41.16 trillion, likely due to the global financial crisis, but the spending increased again in the following years. In 2020, there was another decrease to approximately $58.78 trillion, possibly due to the COVID-19 pandemic. However, in 2021, the total consumer spending significantly increased to approximately $66.18 trillion.",10.53039980493486,"[(1997, 22941234000000.0), (1998, 24346420000000.0), (1999, 26011210000000.0), (2000, 27995918000000.0), (2001, 29289920000000.0), (2002, 30473198000000.0), (2003, 32101259000000.0), (2004, 34153080000000.0), (2005, 36392634000000.0), (2006, 38495024000000.0), (2007, 40455094000000.0), (2008, 41720452000000.0), (2009, 41163092000000.0), (2010, 42709340000000.0), (2011, 44518758000000.0), (2012, 45979387000000.0), (2013, 47292380000000.0), (2014, 49304480000000.0), (2015, 51077257000000.0), (2016, 52890438000000.0), (2017, 55120054000000.0), (2018, 57906376000000.0), (2019, 59985480000000.0), (2020, 58779430000000.0), (2021, 66176880000000.0)]",The total amount of consumer spending in the United States for the year 2021 was approximately $15.9 trillion. The query does not provide information on how this figure has changed over time.,"[(15902576000000.0,)]",0
"What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?","SELECT product_category_name, value 
FROM bea_personal_consumption_expenditures_aggregate 
WHERE area_name = 'United States' AND year = (SELECT MAX(year) FROM bea_personal_consumption_expenditures_aggregate WHERE area_name = 'United States') AND product_category_name IN ('Housing and utilities', 'Food and beverages purchased for off-premises consumption', 'Transportation services', 'Health care', 'Recreation services')
ORDER BY value DESC;
-- This query selects the product category name and value from the bea_personal_consumption_expenditures_aggregate table where the area name is 'United States' and the year is the most recent year in the data. It only selects rows where the product category name is one of the specified categories (housing, food, transportation, healthcare, and entertainment). The results are ordered by value in descending order.","SELECT product_category_name, value as total_spending, value/(SELECT value FROM bea_personal_consumption_expenditures_aggregate WHERE area_type = 'Nationwide' AND product_category_name = 'Total personal consumption expenditures' AND year = 2021) as proportion_of_total FROM bea_personal_consumption_expenditures_aggregate WHERE area_type = 'Nationwide' AND product_category_type = 'Product Type' AND year = 2021 ORDER BY proportion_of_total DESC NULLS LAST LIMIT 10;",8.809487123042345,True,"The most recent data shows that the largest portion of consumer spending in the United States is allocated to housing and utilities, with a total of $2,775,433,600,000. This is followed by health care, which accounts for $2,583,455,000,000 of consumer spending. Food and beverages purchased for off-premises consumption is the third largest category, with a total of $1,205,033,400,000. Recreation services and transportation services account for $528,484,500,000 and $444,050,600,000 respectively.",8.777355914004147,"[('Housing and utilities', 2775433600000.0), ('Health care', 2583455000000.0), ('Food and beverages purchased for off-premises consumption', 1205033400000.0), ('Recreation services', 528484500000.0), ('Transportation services', 444050600000.0)]","The percentage of consumer spending allocated to different categories in 2021 is as follows:

- Housing and utilities accounted for the highest proportion of spending at 17.45% with a total spending of $2,775,433,600,000.
- Health care was the second highest at 16.25% with a total spending of $2,583,455,000,000.
- Gross output of nonprofit institutions accounted for 10.99% with a total spending of $1,748,820,300,000.
- Other nondurable goods accounted for 8.81% with a total spending of $1,400,499,000,000.
- Less: Receipts from sales of goods and services by nonprofit institutions accounted for 8.07% with a total spending of $1,283,289,100,000.
- Financial services and insurance accounted for 8.02% with a total spending of $1,274,985,600,000.
- Other services accounted for 8.01% with a total spending of $1,273,211,700,000.
- Food and beverages purchased for off-premises consumption accounted for 7.58% with a total spending of $1,205,033,400,000.
- Food services and accommodations accounted for 6.67% with a total spending of $1,060,907,200,000.
- Motor vehicles and parts accounted for 4.33% with a total spending of $688,718,900,000.

These percentages represent the proportion of total personal consumption expenditures for each category.","[('Housing and utilities', 2775433600000.0, 0.1745273), ('Health care', 2583455000000.0, 0.16245514), ('Gross output of nonprofit institutions', 1748820300000.0, 0.10997088), ('Other nondurable goods', 1400499000000.0, 0.08806743), ('Less: Receipts from sales of goods and services by nonprofit institutions', 1283289100000.0, 0.08069693), ('Financial services and insurance', 1274985600000.0, 0.08017478), ('Other services', 1273211700000.0, 0.08006323), ('Food and beverages purchased for off-premises consumption', 1205033400000.0, 0.07577599), ('Food services and accommodations', 1060907200000.0, 0.066712916), ('Motor vehicles and parts', 688718900000.0, 0.043308638)]",0
What percentage of the population is working or actively seeking work?,"SELECT year, value as labor_force_participation_rate 
FROM bls_labor_force_statistics 
WHERE labor_force_status = 'Labor force participation rate' 
AND age_group = '16 years and over' 
AND period_name = 'Annual' 
ORDER BY year DESC 
LIMIT 1;
-- This query selects the most recent year's labor force participation rate for individuals aged 16 years and over. The labor force participation rate represents the percentage of the population that is either working or actively seeking work.",SELECT value as labor_force_participation_rate FROM bls_labor_force_statistics WHERE year = 2023 AND period_name = 'July' AND seasonal = 'Seasonally Adjusted' AND age_group = '16 years and over' AND labor_force_status = 'Civilian labor force participation rate' AND foreign_native_born = 'N/A' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A' LIMIT 10,5.365978009067476,False,"The query did not return any results, so it's not possible to determine the most recent labor force participation rate for individuals aged 16 years and over.",2.1574991610832512,[],"The SQL query could not be executed because there is an error. The column ""seasonal"" does not exist in the table ""bls_labor_force_statistics"". Therefore, it is not possible to provide the percentage of the population that is working or actively seeking work based on the provided data.","Error: column ""seasonal"" does not exist
LINE 1: ...cs WHERE year = 2023 AND period_name = 'July' AND seasonal =...
                                                             ^
",0
Has the unemployment rate risen since 2020 in California?,"SELECT year, value as unemployment_rate 
FROM bls_local_area_unemployment_statistics 
WHERE measure = 'Unemployment rate' AND year >= 2020 AND area_name = 'California' 
ORDER BY year ASC;
-- This query selects the year and unemployment rate from the bls_local_area_unemployment_statistics table where the measure is 'Unemployment rate', the year is 2020 or later, and the area is 'California'. The results are ordered by year in ascending order to show the trend over time.","SELECT year, value FROM bls_local_area_unemployment_statistics WHERE area_name = 'California' AND measure = 'unemployment rate' AND area_type = 'statewide' AND period_type = 'yearly (calendar year)' AND year >= 2020 LIMIT 10",10.636044553015381,True,"Based on the execution results, there is no available data regarding the unemployment rate in California since 2020. Therefore, it's not possible to determine whether the unemployment rate has risen since 2020 in California.",2.30959325900767,[],"No, the unemployment rate in California has not risen since 2020. In fact, it has been decreasing. In 2020, the unemployment rate was 10.1%. It decreased to 7.3% in 2021 and further dropped to 4.2% in 2022.","[(2020, 0.101), (2021, 0.073), (2022, 0.042)]",0
How did the unemployment rate differ by education level in 2018,"SELECT level_of_education, value as unemployment_rate 
FROM bls_labor_force_statistics 
WHERE period_name = 'Annual' AND year = 2018 AND labor_force_status = 'Unemployment rate' 
-- This query selects the level of education and unemployment rate from the labor force statistics where the period is annual, the year is 2018, and the labor force status is 'Unemployment rate'.","SELECT unemployed_2018.level_of_education, unemployed_2018.value as unemployed, total_2018.value as labor_force, unemployed_2018.value/total_2018.value AS unemployment_rate FROM bls_labor_force_statistics unemployed_2018, bls_labor_force_statistics total_2018 WHERE unemployed_2018.period_name = 'Annual' AND unemployed_2018.year = 2018 AND unemployed_2018.age_group = '25 years and over' AND unemployed_2018.labor_force_status = 'Unemployed' AND unemployed_2018.foreign_native_born = 'N/A' AND unemployed_2018.industry_name = 'All Industries' AND unemployed_2018.hispanic_origin = 'All Origins' AND unemployed_2018.RACE = 'All Races' AND unemployed_2018.SEX = 'Both Sexes' AND unemployed_2018.veteran_status = 'N/A' AND unemployed_2018.level_of_education != 'All educational levels' AND total_2018.period_name = 'Annual' AND total_2018.year = 2018 AND total_2018.age_group = '25 years and over' AND total_2018.labor_force_status = 'Civilian labor force' AND total_2018.foreign_native_born = 'N/A' AND total_2018.industry_name = 'All Industries' AND total_2018.hispanic_origin = 'All Origins' AND total_2018.RACE = 'All Races' AND total_2018.SEX = 'Both Sexes' AND total_2018.veteran_status = 'N/A' AND total_2018.level_of_education != 'All educational levels' AND total_2018.level_of_education = unemployed_2018.level_of_education AND total_2018.year = unemployed_2018.year",5.568863074993715,True,The data for the unemployment rate by education level in 2018 is not available in the database.,2.015426265075803,[],"In 2018, the unemployment rate varied by education level. For those with an advanced degree, the unemployment rate was approximately 1.98%. For individuals with an associate degree, the rate was approximately 2.81%. For those with a bachelor's degree and higher, the unemployment rate was approximately 2.14%. For individuals with only a bachelor's degree, the rate was approximately 2.23%. For high school graduates with no college education, the unemployment rate was approximately 4.06%. For those with less than a high school diploma, the unemployment rate was the highest at approximately 5.60%. For individuals with some college education but no degree, the rate was approximately 3.68%. Lastly, for those with some college or an associate degree, the unemployment rate was approximately 3.32%.","[('Advanced degree', 423000.0, 21393000.0, 0.019772822), ('Associate degree', 440000.0, 15649000.0, 0.028116813), (""Bachelor's degree and higher"", 1222000.0, 57217000.0, 0.021357289), (""Bachelor's degree only"", 799000.0, 35824000.0, 0.022303484), ('High School graduates, no college', 1461000.0, 36010000.0, 0.040572062), ('Less than a High School diploma', 576000.0, 10278000.0, 0.05604203), ('Some college, no degree', 808000.0, 21937000.0, 0.03683275), ('Some college or associate degree', 1248000.0, 37585000.0, 0.033204734)]",0
How many people were employed in the construction industry in 2020?,"SELECT value 
FROM bls_current_employment 
WHERE industry_name = 'Construction' AND year = 2020 AND data_type = 'Employees, In Thousands'
-- This query selects the number of people employed in the construction industry in 2020. The data_type 'Employees, In Thousands' is used to get the employment count.",SELECT value as construction_employment FROM bls_labor_force_statistics WHERE YEAR = 2020 AND industry_name = 'Construction' AND PERIOD_NAME = 'Annual' AND labor_force_status = 'Employed' AND occupation = 'All Occupations' AND age_group = '16 years and over' AND race = 'All Races' AND foreign_native_born = 'N/A' AND hispanic_origin = 'All Origins' AND sex = 'Both Sexes' AND working_status = 'N/A';,7.091978440061212,True,The data for the number of people employed in the construction industry in 2020 is not available in the current dataset.,1.8524647189769894,[],"In 2020, there were 10,786,000 people employed in the construction industry.","[(10786000.0,)]",0
What are the salaries of the states with the highest salaries in 2022?,"SELECT location_name, MAX(value * 52) as annual_salary
FROM bls_earnings
WHERE year = 2022 AND measure = 'Median usual weekly earnings - in current dollars (second quartile)' AND union_status = 'N/A' AND industry_name = 'All Industries' AND occupation_name = 'All Occupations' AND age = '16 years and over' AND race = 'All Races' AND national_origin = 'All Origins' AND sex = 'Both Sexes' AND native_foreign_born = 'N/A'
GROUP BY location_name
ORDER BY annual_salary DESC
LIMIT 10;
-- This query selects the top 10 states with the highest annual salaries in 2022. It calculates the annual salary by multiplying the weekly earnings by 52.","SELECT location_name, value * 52 AS median_weekly_earnings FROM bls_earnings WHERE year = 2022 AND location_name != 'U.S. Total' AND measure = 'Median usual weekly earnings - in current dollars (second quartile)' AND union_status = 'N/A' AND industry_name = 'All Industries' AND occupation_name = 'All Occupations' AND education = 'All educational levels' AND age = '16 years and over' AND race = 'All Races' AND national_origin = 'All Origins' AND sex = 'Both Sexes' AND native_foreign_born = 'N/A' ORDER BY value DESC LIMIT 10;",9.949316791025922,True,"The states with the highest salaries in 2022 are as follows:

1. District of Columbia with an annual salary of $90,480.00
2. Massachusetts with an annual salary of $70,356.00
3. Connecticut with an annual salary of $65,520.00
4. Maryland and Colorado both with an annual salary of $64,480.00
5. New Hampshire with an annual salary of $62,764.00
6. Washington with an annual salary of $62,244.00
7. New Jersey with an annual salary of $61,724.00
8. Virginia and California both with an annual salary of $60,268.00

Please note that these figures represent the median usual weekly earnings for all industries and occupations for individuals aged 16 years and over, regardless of race, national origin, and sex. The weekly earnings have been multiplied by 52 to calculate the annual salary.",8.929151416989043,"[('District of Columbia', 90480.0), ('Massachusetts', 70356.0), ('Connecticut', 65520.0), ('Maryland', 64480.0), ('Colorado', 64480.0), ('New Hampshire', 62764.0), ('Washington', 62244.0), ('New Jersey', 61724.0), ('Virginia', 60268.0), ('California', 60268.0)]","The states with the highest salaries in 2022 are as follows:

1. District of Columbia with a salary of $90,480
2. Massachusetts with a salary of $70,356
3. Connecticut with a salary of $65,520
4. Maryland and Colorado both with a salary of $64,480
5. New Hampshire with a salary of $62,764
6. Washington with a salary of $62,244
7. New Jersey with a salary of $61,724
8. Virginia and California both with a salary of $60,268

Please note that these values are annual salaries calculated as median weekly earnings multiplied by 52.","[('District of Columbia', 90480.0), ('Massachusetts', 70356.0), ('Connecticut', 65520.0), ('Maryland', 64480.0), ('Colorado', 64480.0), ('New Hampshire', 62764.0), ('Washington', 62244.0), ('New Jersey', 61724.0), ('Virginia', 60268.0), ('California', 60268.0)]",0
What was GDP in Washington in 2019?,"SELECT value 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Washington' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 2019
-- This query selects the value of GDP from the table 'bea_gross_domestic_product_by_year' for the state of Washington in the year 2019. The measurement_name 'Real GDP by state' and industry_type 'Total' are used to specify the type of GDP we are interested in.",SELECT value as gdp_2019 FROM bea_gross_domestic_product_by_year WHERE area_name = 'Washington' AND measurement_name = 'Real GDP by state' AND year = 2019 AND industry_type = 'Total';,10.117829684051685,True,"The Gross Domestic Product (GDP) in Washington in 2019 was $533,150,400,000.",1.7906604880699888,"[(533150400000.0,)]","The Gross Domestic Product (GDP) in Washington in 2019 was $533,150,400,000.","[(533150400000.0,)]",0
Where is the unemployment rate the highest?,"SELECT area_name, value as highest_unemployment_rate 
FROM bls_local_area_unemployment_statistics 
WHERE measure = 'unemployment rate' AND period_name = 'Annual' AND year = (SELECT MAX(year) FROM bls_local_area_unemployment_statistics)
ORDER BY value DESC
LIMIT 1
-- This query selects the area name and the highest unemployment rate from the bls_local_area_unemployment_statistics table where the measure is 'unemployment rate' for the most recent year. It orders the results in descending order by the unemployment rate and limits the output to the top 1 result.","SELECT area_name, value AS unemployment_rate FROM bls_local_area_unemployment_statistics WHERE measure = 'unemployment rate' AND year = 2023 AND period_name = 'July' AND seasonal = 'Seasonally Adjusted' AND area_type = 'statewide' ORDER BY unemployment_rate DESC;",16.92045455297921,True,The data does not provide information on the area with the highest unemployment rate.,5.234237990924157,[],"The area with the highest unemployment rate in July 2023 is Puerto Rico, with an unemployment rate of 6.2%. The next highest rates are in Nevada with 5.3%, and the District of Columbia with 5.0%. The states with the lowest unemployment rates are Maryland, Vermont, and New Hampshire with rates of 1.8%, 1.8%, and 1.7% respectively.","[('Puerto Rico', 0.062), ('Nevada', 0.053), ('District of Columbia', 0.05), ('California', 0.046), ('Texas', 0.041), ('Delaware', 0.041), ('Illinois', 0.04), ('New York', 0.039), ('New Jersey', 0.039), ('Alaska', 0.038), ('Kentucky', 0.038), ('Michigan', 0.036), ('Washington', 0.036), ('Connecticut', 0.036), ('Arizona', 0.036), ('New Mexico', 0.036), ('Pennsylvania', 0.035), ('Oregon', 0.034), ('West Virginia', 0.034), ('Louisiana', 0.034), ('Ohio', 0.033), ('North Carolina', 0.033), ('Indiana', 0.033), ('Georgia', 0.032), ('Tennessee', 0.031), ('South Carolina', 0.031), ('Minnesota', 0.03), ('Mississippi', 0.03), ('Wyoming', 0.03), ('Colorado', 0.029), ('Hawaii', 0.028), ('Rhode Island', 0.028), ('Idaho', 0.028), ('Oklahoma', 0.027), ('Iowa', 0.027), ('Florida', 0.027), ('Kansas', 0.027), ('Missouri', 0.027), ('Arkansas', 0.026), ('Wisconsin', 0.026), ('Montana', 0.025), ('Massachusetts', 0.025), ('Virginia', 0.025), ('Maine', 0.024), ('Utah', 0.024), ('Alabama', 0.021), ('Nebraska', 0.02), ('North Dakota', 0.02), ('South Dakota', 0.019), ('Maryland', 0.018), ('Vermont', 0.018), ('New Hampshire', 0.017)]",1
What was the GDP of Michigan in 2013?,"SELECT value 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Michigan' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 2013
-- This query selects the GDP value from the bea_gross_domestic_product_by_year table where the area is Michigan, the measurement is Real GDP by state, the industry type is Total, and the year is 2013.",SELECT value FROM bea_gross_domestic_product_by_year WHERE area_name = 'Michigan' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 2013,10.576287397067063,True,"The GDP of Michigan in 2013 was $428,737,600,000.",1.1112210639985278,"[(428737600000.0,)]","The GDP of Michigan in 2013 was $428,737,600,000.","[(428737600000.0,)]",0
What was the GDP of Utah in 2013?,"SELECT value 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Utah' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 2013
-- This query selects the GDP value from the bea_gross_domestic_product_by_year table where the area is Utah, the measurement is Real GDP by state, the industry type is Total, and the year is 2013.",SELECT value FROM bea_gross_domestic_product_by_year WHERE area_name = 'Utah' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 2013,7.39628673705738,True,"The GDP of Utah in 2013 was $133,112,900,000.",1.469351023901254,"[(133112900000.0,)]","The GDP of Utah in 2013 was $133,112,900,000.","[(133112900000.0,)]",0
What was the GDP of Oregon in 1999?,"SELECT value 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Oregon' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 1999
-- This query selects the GDP value from the bea_gross_domestic_product_by_year table where the area is Oregon, the measurement is Real GDP by state, the industry type is Total, and the year is 1999.",SELECT value FROM bea_gross_domestic_product_by_year WHERE area_name = 'Oregon' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 1999,6.705000023008324,True,"The GDP of Oregon in 1999 was $126,739,200,000.",2.52906998898834,"[(126739200000.0,)]","The GDP of Oregon in 1999 was $126,739,200,000.","[(126739200000.0,)]",0
What was the GDP of Maryland in 2019?,"SELECT value 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Maryland' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 2019
-- This query selects the GDP value from the bea_gross_domestic_product_by_year table where the area is Maryland, the measurement is Real GDP by state, the industry type is Total, and the year is 2019.",SELECT value FROM bea_gross_domestic_product_by_year WHERE area_name = 'Maryland' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 2019,7.7431397180771455,True,"The GDP of Maryland in 2019 was $368,056,400,000.",1.1421777510549873,"[(368056400000.0,)]","The GDP of Maryland in 2019 was $368,056,400,000.","[(368056400000.0,)]",0
What was the GDP of Connecticut in 1977?,"SELECT value 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Connecticut' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 1977
-- This query selects the GDP value from the table 'bea_gross_domestic_product_by_year' for the state of Connecticut in the year 1977. The measurement_name 'Real GDP by state' is used to specify that we want the GDP data, and the industry_type 'Total' is used to get the total GDP, not just for a specific industry.",SELECT value FROM bea_gross_domestic_product_by_year WHERE area_name = 'Connecticut' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 1977,8.688059682026505,True,"The GDP of Connecticut in 1977 was $70,360,800,000.",1.6319736659061164,"[(70360800000.0,)]","The GDP of Connecticut in 1977 was $70,360,800,000.","[(70360800000.0,)]",0
